"P11_L","P12_L","P13_L","P14_L","P15_L","P16_L","P17_L","P18_L","P19_L","P20_L","P11_PL","P12_PL","P13_PL","P14_PL","P15_PL","P16_PL","P17_PL","P18_PL","P19_PL","P20_PL"
"AASDHPPT",7.41713333333333,7.6967,7.68456666666667,7.7449,7.3172,7.53873333333333,7.6211,7.52196666666667,7.46336666666667,7.4128,7.50346666666667,7.3988,7.56606666666667,7.70233333333333,7.5448,7.5797,7.44896666666667,7.47246666666667,7.5431,7.45913333333333
"AASS",7.2753,7.3184,7.0968,6.94695,7.2472,7.32385,7.08265,7.0078,6.9806,7.06405,6.9067,7.3601,7.21855,7.2316,7.0977,7.30175,7.5881,7.01125,7.3948,7.0239
"AATF",9.3449,9.0671,9.6586,9.3327,9.3631,9.5073,9.288,9.3404,9.6005,9.3174,9.5395,9.2721,9.4073,9.4502,9.2811,9.3523,9.299,9.3152,9.518,9.1997
"AATK",5.5203,5.5805,5.8351,5.4831,5.2666,5.2026,5.6012,5.6093,5.6888,5.4858,5.7668,5.9394,5.5183,5.6995,5.4125,5.4826,5.7867,5.7348,5.7385,5.6662
"AB074162",8.0214,7.8844,7.2578,7.0305,8.1833,8.4789,8.1272,7.8916,8.2331,7.1632,8.1805,7.433,7.62,7.0611,7.985,8.2245,8.531,8.3195,8.1444,7.7948
"AB488780",9.3252,9.7784,9.1443,8.7572,9.1437,9.0959,9.2815,9.2344,8.6199,9.2271,9.1108,9.1265,9.2034,9.0322,9.0487,9.0054,9.5026,9.4624,9.37,8.9525
"ABAT",6.60386666666667,6.37876666666667,6.39773333333333,6.5711,6.33596666666667,6.32666666666667,6.56496666666667,6.63503333333333,6.54473333333333,6.93133333333333,6.4593,6.30856666666667,6.3945,6.4417,6.86173333333333,6.51073333333333,6.43066666666667,6.6518,6.56876666666667,7.33213333333333
"ABCA1",6.50605,6.9176,6.811175,6.837625,6.8369,6.689925,6.867475,6.60195,6.644275,6.7801,6.708025,6.8781,6.596925,7.067275,6.516625,6.551175,6.970625,6.600425,6.6339,6.596875
"ABCA11P",7.0543,6.4542,6.4331,6.516,6.6866,6.7351,6.8214,6.3459,7.0382,6.9491,6.9961,6.7375,6.5453,6.3644,6.3941,6.5941,7.2438,7.1381,7.1692,6.9691
"ABCA12",10.703,10.3368,11.206,10.3884,11.1641,11.4363,10.3601,11.3437,10.8835,11.0138,10.6323,10.7102,10.9427,10.6622,11.179,10.9798,10.1446,11.0583,10.9795,10.8567
