"P11_L","P12_L","P13_L","P14_L","P15_L","P16_L","P17_L","P18_L","P19_L","P20_L","P11_PL","P12_PL","P13_PL","P14_PL","P15_PL","P16_PL","P17_PL","P18_PL","P19_PL","P20_PL"
"CBLB",6.4143,6.81006666666667,6.21753333333333,6.5023,6.4409,6.45066666666667,6.9018,6.49446666666667,6.43873333333333,6.42696666666667,6.3575,6.89786666666667,6.35146666666667,6.71293333333333,6.25396666666667,6.78603333333333,6.9084,6.38563333333333,6.4465,6.3511
"CBLC",7.28185,7.0678,7.6999,7.4714,7.6036,7.7379,7.30175,7.60705,7.2939,7.5285,7.2758,7.1754,7.35255,7.2796,7.45825,7.4074,7.33915,7.48655,7.54115,7.1339
"CBLL1",7.51695,7.488,7.9019,7.9169,7.72775,7.7981,7.8754,7.6712,7.9891,7.932,7.35825,7.60185,7.6866,7.7445,7.9569,7.64795,7.67415,7.51075,7.78635,7.79515
"CBLN1",2.1692,2.7731,2.4673,2.3379,2.2627,2.5484,2.2419,2.8008,2.3999,2.8959,2.5764,3.3584,2.4658,2.4745,2.4228,2.3706,2.7167,2.7931,3.8332,2.755
"CBLN2",6.7262,4.4672,3.6545,4.7221,7.1516,7.1833,5.8043,5.6876,5.4175,6.4389,5.3043,6.2853,4.5077,5.1809,6.6316,5.8647,4.7987,6.5752,7.5394,5.479
"CBLN3",3.997,3.9031,4.4571,5.3022,5.257,4.5913,5.0432,4.8973,5.7057,5.6346,3.9875,4.6094,4.8734,4.7823,5.1875,5.1783,5.345,4.6863,5.1814,5.2203
"CBLN4",3.7637,3.76995,3.82545,3.82825,4.0888,3.89855,3.5512,4.03155,3.7872,3.8208,3.82175,3.9531,3.7596,3.8653,4.16235,3.7566,3.8512,4.3062,3.77575,3.98405
"CBR1",10.6223,10.2912,10.8315,10.7008,10.4305,10.4265,9.7358,10.1064,10.7129,10.3782,10.4217,10.3448,10.5054,10.8205,9.9961,10.3115,9.9895,9.959,10.2117,10.2696
"CBR3",11.7343,11.6177,11.9623,12.1142,11.5278,12.2896,11.728,11.8021,11.6567,12.0469,11.867,11.5432,11.8617,12.1054,11.5534,12.2341,11.8135,11.5248,11.5968,12.0963
"CBR3-AS1",7.0557,7.33795,7.12005,7.1978,7.31255,7.4058,6.8754,7.86145,7.30205,7.2831,7.26595,7.0694,7.11485,7.15355,7.35425,7.18945,6.7328,7.58205,7.45795,7.2901
"CBR4",9.6293,9.9207,9.53413333333333,9.30483333333333,9.62003333333333,9.58956666666667,9.42676666666667,9.50853333333333,9.4759,9.59686666666667,9.5282,9.694,9.68563333333333,9.4696,9.76516666666667,9.5445,9.5313,9.73426666666667,9.59983333333333,9.8219
"CBS",6.13623333333333,5.92676666666667,5.41366666666667,5.7945,5.63333333333333,5.78666666666667,5.8737,5.90386666666667,5.9524,6.14903333333333,5.7655,5.9161,5.67666666666667,5.895,5.5801,5.69066666666667,5.92843333333333,5.73953333333333,5.7916,6.03063333333333
"CBWD1",10.4833333333333,10.7998333333333,10.7302,10.9235666666667,10.6922666666667,10.6885666666667,10.6739,10.7114666666667,10.7859333333333,10.8456666666667,10.1977666666667,10.7634666666667,10.6893666666667,10.7798333333333,10.6473,10.5660333333333,10.5969,10.6818,10.8540333333333,10.9062666666667
"CBX1",11.2608,11.3844,11.1678,11.0089,11.1606,11.2277,11.2872,11.3654,11.1884,11.3277,11.2644,11.2392,11.3545,11.0478,11.1451,11.2983,11.0049,11.1296,11.1192,11.332
"CBX2",5.16435,4.8028,5.188325,5.085125,5.164075,5.015775,4.9242,5.235075,5.157075,4.972075,5.0548,5.0105,5.12195,4.950925,5.0383,4.963175,4.823475,5.086425,4.930325,5.0479
"CBX3",9.19155,9.24905,9.10565,9.010975,9.13285,9.3736,9.165975,9.215925,9.110825,9.0544,9.075525,9.14735,9.280925,9.27155,9.190625,9.2508,9.282475,9.35585,9.172475,9.106925
"CBX3P2",2.0876,2.5196,2.3236,2.3405,2.4136,1.8932,2.426,2.0956,2.0276,2.0756,2.4003,2.4422,2.6394,2.4642,2.0242,2.4848,2.0904,1.8421,2.2973,2.2374
"CBX4",6.63205,6.7475,7.11405,7.0049,6.54695,6.4302,6.65525,6.8344,6.984,6.33115,6.8181,6.7312,6.97945,6.9168,6.7771,6.40655,6.45325,6.7457,6.7321,6.62945
"CBX5",8.025,8.30551666666667,8.37746666666667,8.29498333333333,8.26745,8.62146666666667,8.45061666666667,8.4736,7.74891666666667,8.30293333333333,8.532,7.90923333333333,8.5379,8.3737,8.30903333333333,8.5522,8.33431666666667,8.39775,8.28691666666667,8.21443333333333
"CBX6",10.3555,10.07615,9.6234,9.96845,10.21725,10.27415,10.2304,10.0798,10.1289,10.31035,10.50075,10.045,9.94895,10.04385,10.10145,10.457,10.2981,10.03225,10.2604,10.255
"CBX7",10.1393,10.4442,9.6125,9.9559,10.4439,10.1647,10.372,9.9296,10.3479,10.3775,10.2132,10.5092,9.9158,9.8254,10.2191,10.3365,10.5496,10.0853,10.3056,10.0373
"CBX8",5.7251,5.948,6.2044,5.9871,6.4229,6.0463,5.8646,6.1185,6.4534,5.9302,5.8864,5.9168,6.4104,5.8745,6.1834,6.157,6.0216,6.4923,6.4251,6.0166
"CBY1",8.7479,8.5911,8.5722,8.5952,8.5724,8.65035,8.7604,8.74055,8.7231,8.6958,8.75045,8.46025,8.5871,8.54285,8.7882,8.81405,8.79585,8.6914,8.75555,8.54415
"CBY3",4.2772,4.181,4.9512,4.7432,4.256,4.2578,3.9214,4.2202,4.488,4.7789,4.9727,4.5459,4.5728,4.4336,5.1988,4.6793,4.4511,3.8478,4.7056,4.5588
"CC2D1A",6.55125,6.445275,6.806725,6.604,6.351075,6.4773,6.16255,6.41445,6.584475,6.3386,6.104275,6.38855,6.5937,6.633375,6.3931,6.394475,6.29865,6.4909,6.52115,6.30145
"CC2D1B",6.4942,6.2497,6.37785,6.2956,6.4592,6.50465,6.4372,6.47545,6.6803,6.3918,6.4602,6.5415,6.53745,6.27145,6.3216,6.37865,6.54,6.47855,6.57465,6.652
"CC2D2A",5.656625,5.926325,5.543025,5.6389,5.65685,5.8234,5.715425,5.87755,5.440075,5.781925,5.7731,5.98435,5.75165,5.863875,5.63525,5.793275,5.72425,5.7136,5.867725,5.5244
"CC2D2B",4.3919,5.1282,4.6409,4.0766,4.6745,5.1303,5.2945,5.0416,5.1458,4.3051,5.0417,4.7204,5.2692,4.6186,4.8721,5.6002,5.5217,5.1794,5.5506,4.8296
"CCAR1",9.01103333333333,9.20846666666667,9.07923333333333,9.0118,9.07696666666667,9.01906666666667,8.71536666666667,8.88923333333333,9.05903333333333,8.7023,8.67273333333333,8.95963333333333,9.15473333333333,9.04963333333333,8.7198,9.0443,8.95313333333333,8.88213333333333,9.0325,8.71626666666667
"CCAR2",6.70803333333333,6.85483333333333,6.8352,6.8628,6.7811,6.68756666666667,6.63603333333333,6.58316666666667,6.9221,6.59646666666667,6.5893,6.85256666666667,6.6614,6.69986666666667,6.6643,6.53963333333333,6.4921,6.62333333333333,6.8797,6.65066666666667
"CCBE1",6.97153333333333,8.06743333333333,6.5553,7.43873333333333,7.7771,6.5175,8.22816666666667,7.18556666666667,7.5155,7.45033333333333,7.32193333333333,7.92776666666667,7.10583333333333,8.1237,7.25416666666667,6.8049,8.10036666666667,6.84603333333333,6.74313333333333,7.04306666666667
"CCBL1",5.65286666666667,5.79026666666667,5.83703333333333,5.4927,5.4819,5.68886666666667,5.669,5.38706666666667,5.71186666666667,5.38636666666667,5.61056666666667,5.5597,5.78953333333333,5.4903,5.5215,5.66756666666667,5.92856666666667,5.69366666666667,5.37116666666667,5.5692
"CCBL2",11.0037,11.0871,11.2349,10.9855,10.7658,11.1782,10.9368,11.1182,11.2975,11.125,10.9857,11.2359,11.149,10.9075,10.9387,11.0789,10.8104,11.245,11.2054,11.248
"CCDC101",8.7894,8.8523,9.2436,8.99955,9.26045,9.2646,9.02145,9.10235,8.8594,9.1236,8.8888,8.8756,9.00555,9.0832,9.1243,9.3148,9.10795,8.8729,8.7627,8.90595
"CCDC102A",6.3053,6.354,6.4536,6.1721,6.1912,6.2699,6.0172,6.1035,6.7844,6.3062,6.1939,6.2319,6.0872,5.9059,5.6842,6.2942,6.3515,6.0411,6.3624,6.0491
"CCDC102B",5.4655,5.1207,4.6921,4.9161,4.9923,4.394,4.9644,4.9079,4.6467,5.5454,5.6879,5.9247,5.4203,5.638,4.9608,4.6224,5.4383,4.6777,4.6888,4.9601
"CCDC103",4.4578,4.4987,4.503,4.33,4.1755,4.1253,3.9791,4.3176,4.3598,4.2302,4.0914,4.0523,4.0444,4.07,4.4123,4.1295,4.0191,4.2829,4.1075,4.2762
"CCDC104",10.3442,10.4446,10.3335,10.483,10.2725,10.168,10.4036,10.1107,10.5837,10.4913,10.3256,10.4269,10.1685,10.4017,10.2306,10.1925,10.6332,10.1855,10.3189,10.3489
"CCDC105",4.988,4.6614,5.3568,4.891,5.0163,5.0308,4.8828,5.0033,4.9759,4.893,4.8421,4.5959,5.0136,4.8098,4.7743,4.7289,4.5581,4.8754,4.944,4.9147
"CCDC106",6.7469,6.3974,6.5303,6.504,6.6648,6.3113,6.5019,6.4613,6.7954,6.7706,6.4909,6.4102,6.4628,6.5223,6.4372,6.3453,6.4494,6.3074,6.4606,6.2707
"CCDC107",10.3546,10.2591,9.8564,10.3797,10.2602,9.7077,10.1439,9.9134,10.2576,10.222,10.1596,10.4348,9.8719,10.2213,9.8669,9.9988,10.4901,9.8404,10.2015,9.8956
"CCDC108",3.72273333333333,3.93423333333333,4.24773333333333,4.03716666666667,3.87423333333333,3.8707,3.8872,3.98286666666667,4.01246666666667,3.872,3.80606666666667,3.79333333333333,3.83746666666667,3.9744,3.86636666666667,3.94166666666667,3.87336666666667,3.9917,3.88796666666667,3.9683
"CCDC109B",9.3788,9.1376,9.297,9.3645,9.2583,9.1446,9.391,9.1322,9.6298,9.4915,9.18,9.3305,9.0552,9.4091,9.0265,9.2366,9.1939,8.8721,9.0487,9.3165
"CCDC11",4.3634,4.23395,4.52355,4.01985,3.78585,4.2845,4.6387,3.80935,4.68585,4.99425,4.0545,4.23915,4.39925,4.19065,3.98675,4.36575,4.58665,4.2568,3.99615,4.08595
"CCDC110",4.9928,4.1329,3.6227,4.4567,4.3849,4.8396,4.469,4.1793,5.6,4.4677,4.797,4.7687,4.1329,4.4056,4.5364,5.1134,5.1442,4.1627,5.0155,4.7867
"CCDC112",6.4243,6.3763,6.4707,5.9187,6.4836,6.2765,6.8127,6.1724,6.415,6.449,6.284,6.3028,6.1791,6.2378,5.9928,6.1988,6.3966,6.188,6.776,6.135
"CCDC113",9.624,9.4664,10.167,9.7469,9.5592,9.726,9.5085,8.9864,9.5199,9.8338,9.7067,9.5213,9.8958,9.6776,9.6448,9.523,9.2515,8.9803,9.647,9.7283
"CCDC114",6.8953,6.6859,7.1519,6.3703,6.5945,6.5033,6.818,6.2841,7.4414,6.6944,6.3756,6.6703,7.1448,6.4753,6.3902,6.4933,6.3812,6.6063,6.7402,6.5674
"CCDC115",9.7444,9.8643,10.0419,10.0128,9.938,10.0878,10.3034,9.7784,10.0223,9.9168,9.9508,9.8178,10.1282,10.0591,9.8161,10.0606,10.1046,9.924,10.1678,9.7437
"CCDC116",5.5711,5.402,5.6711,5.3528,5.3787,5.1207,5.2537,5.3829,5.4421,5.0813,5.251,5.506,5.5753,5.2982,5.4145,5.2332,5.4033,5.435,5.3519,5.4456
"CCDC117",8.1952,8.39105,8.5627,8.40795,8.3641,8.3771,8.35865,8.46275,8.167,8.3658,8.25945,8.08005,8.44185,8.25115,8.3058,8.5857,8.26715,8.48285,8.40795,8.2548
"CCDC12",10.3772,10.0877,10.5344,10.4459,10.3997,10.0837,9.8739,9.9932,10.4661,10.333,10.2998,10.1612,10.291,10.1392,10.0653,10.054,10.1263,10.044,10.2822,10.117
"CCDC120",4.92075,4.8286,5.54935,5.06805,5.068,4.99955,4.8086,4.93695,4.94675,4.92585,4.9069,5.0659,5.19455,5.1232,5.1426,5.0501,4.9711,5.15165,5.03065,4.6984
"CCDC121",7.5404,7.6,7.2468,7.7892,7.6649,7.6887,8.0935,7.5232,7.895,8.0813,7.2994,7.5447,7.55,7.4025,7.5046,7.5593,8.0513,7.532,7.8924,7.8407
"CCDC122",6.0323,6.7157,6.0366,6.2417,6.0501,6.0555,5.6753,6.0329,6.4021,6.1912,6.3621,6.1883,6.1394,5.6405,5.7931,6.1173,5.7799,6.369,6.6394,6.2529
"CCDC124",6.43605,6.6787,7.02265,6.7652,7.11845,6.6758,6.5951,6.77735,6.7009,6.8772,6.65795,6.31805,6.9564,6.46085,6.7573,6.49775,6.68895,6.55975,6.6943,6.61065
"CCDC125",6.6961,7.1336,6.55035,6.5591,6.75925,6.87725,6.3482,6.9536,6.54725,6.6037,6.93815,6.67645,6.9009,6.84615,7.06875,6.907,6.45765,6.61155,6.5458,6.40405
"CCDC126",7.8966,8.1035,8.61665,8.34125,8.53045,8.412,8.2519,8.6492,7.8416,8.35765,7.9966,8.10445,8.56515,8.1751,8.67355,8.3072,8.0212,8.33705,8.12315,8.23005
"CCDC127",7.47055,7.64715,7.44945,7.5348,7.72815,7.62665,7.9717,7.74935,7.9122,7.8447,7.72305,7.5405,7.63525,7.49665,7.78965,7.7047,8.0135,7.7371,7.8527,7.79005
"CCDC129",4.657,6.40955,4.5251,5.65495,4.5075,4.70965,5.58625,4.17725,4.60925,5.5638,5.7407,5.32365,5.34745,5.22125,5.2545,5.05315,5.66085,4.80245,4.8462,5.30695
"CCDC13",4.52935,4.702375,5.0152,4.5952,4.7634,4.49155,4.736925,4.906775,4.8848,4.60295,4.7328,4.597025,4.7367,4.640775,4.75375,4.528325,4.572725,4.778925,4.677975,4.6973
"CCDC13-AS1",5.1056,4.6427,4.8518,4.6974,4.6284,4.518,4.6049,4.9282,4.1644,4.6399,5.2835,4.4215,4.9741,4.7334,5.3457,4.8586,4.7997,4.9801,4.4469,4.6054
"CCDC130",8.9386,8.5488,8.6117,8.4357,8.7572,8.507,8.1218,8.2192,8.8675,8.3253,8.2608,8.8778,8.5288,8.4727,8.2699,8.3714,8.5306,8.3852,8.3159,8.31
"CCDC132",6.581625,6.375975,6.79985,6.340325,6.539875,7.029525,6.8089,6.767,6.4827,6.645925,6.4113,6.291375,6.6494,6.4084,6.656125,6.836325,6.6446,6.7532,6.4595,6.536675
"CCDC134",7.9347,7.97125,8.05915,7.94985,8.0349,7.9149,7.8143,7.9945,8.0774,8.0748,7.85075,8.00955,7.9195,8.1117,8.0741,7.86975,7.79685,7.948,8.03195,7.93855
"CCDC135",4.5281,5.06,4.9876,4.8571,4.8086,4.7597,4.7609,4.8266,4.7604,4.6858,4.6,4.6119,4.9598,4.8924,4.6606,4.7189,4.606,4.8712,4.8558,4.7553
"CCDC136",6.1171,6.01163333333333,5.5252,5.3475,5.60453333333333,5.66576666666667,5.7236,5.73673333333333,5.64293333333333,5.57923333333333,5.8243,6.2207,5.56353333333333,5.95366666666667,5.84883333333333,6.06846666666667,6.03113333333333,5.8847,6.0927,5.87093333333333
"CCDC137",7.3594,6.9364,7.4457,7.2103,7.6383,6.8978,6.5243,7.1657,7.3717,7.1844,7.3947,7.0416,7.4083,7.4074,7.2637,6.76,7.0206,6.9542,7.1577,6.7722
"CCDC138",6.18875,6.2663,6.66255,6.31095,6.1815,6.1218,5.98785,6.3091,6.1937,6.16085,6.1312,6.0162,6.6099,6.18385,6.0037,6.01325,5.81085,6.0661,5.65885,6.102
"CCDC14",6.3584,6.25716666666667,6.22896666666667,5.86393333333333,6.14553333333333,5.83593333333333,6.16576666666667,6.0482,6.17793333333333,5.92,5.75606666666667,6.18866666666667,6.00003333333333,5.9798,6.06316666666667,5.93076666666667,6.058,6.12806666666667,6.06073333333333,6.0716
"CCDC140",3.9818,3.4211,3.497,3.6149,3.832,3.5423,3.7345,3.315,3.2036,3.4749,4.1564,3.1193,3.3456,3.8575,3.6728,3.2404,3.7583,3.386,3.5883,4.4177
"CCDC141",4.38385,4.50485,3.6858,4.37495,4.18045,4.19755,4.10955,4.39725,3.7482,3.8739,4.22545,4.5827,4.0044,4.12925,4.0073,4.40395,4.2251,4.42445,3.9614,4.09255
"CCDC142",7.6746,7.7976,7.79655,7.67835,7.95265,7.9788,7.75,8.17085,7.82965,7.9986,7.7432,7.75485,7.59455,7.70595,7.972,7.9519,8.05625,7.98695,7.65175,7.7644
"CCDC144A",3.9216,3.8445,3.80666666666667,3.23646666666667,3.79173333333333,3.44386666666667,3.8755,4.0412,3.4592,3.3822,3.80416666666667,3.73866666666667,4.03506666666667,3.38516666666667,3.79373333333333,3.6282,4.22196666666667,3.9015,4.08976666666667,3.66506666666667
"CCDC144CP",2.5425,2.0682,2.0584,2.4138,2.4207,2.5339,2.1089,2.5997,2.3961,2.2949,2.3275,2.3514,2.0613,2.0415,2.4898,2.2217,2.5053,2.0651,2.1864,2.3233
"CCDC146",8.3374,8.3065,8.6534,8.4052,8.3731,7.8078,8.0976,7.7553,8.6318,8.3459,8.0988,8.573,8.5437,8.564,7.8374,7.8502,8.1446,7.8792,8.1895,8.1974
"CCDC147",5.13545,4.87235,5.2709,4.582,4.8068,4.65505,4.75355,4.8696,4.9561,4.82815,4.4563,4.64965,4.7228,4.80195,4.73765,4.49795,4.4759,4.83695,4.77735,4.8115
"CCDC148",3.74645,4.02635,3.7389,4.07665,3.5987,3.59425,4.0792,3.67475,3.52445,3.7604,3.63515,3.994,3.9239,3.80525,3.9185,3.60875,4.10525,3.8235,3.69395,3.8036
"CCDC148-AS1",3.4928,3.4668,3.4441,3.3853,3.3185,3.1002,3.4047,3.6147,3.2744,3.6874,3.2106,3.598,3.3927,3.4695,3.3015,3.3999,3.2142,3.2064,3.301,3.21
"CCDC149",6.597775,6.800725,6.192475,6.230725,6.368725,6.359575,6.615525,6.2705,6.66125,6.33875,6.571325,6.50455,6.249075,6.313675,6.288875,6.48915,6.89495,6.509925,6.599075,6.43265
"CCDC15",6.2548,6.01285,6.55895,5.9713,6.37235,7.0194,7.1506,6.28435,6.90475,6.39285,6.38485,5.87405,6.5293,6.20955,6.3678,6.8506,6.77885,6.4002,6.65295,6.3203
"CCDC150",4.8462,4.78743333333333,5.5597,4.57136666666667,4.59503333333333,4.97683333333333,4.64733333333333,4.9563,4.7673,4.75836666666667,4.71453333333333,4.80886666666667,4.95786666666667,4.79403333333333,4.66373333333333,4.83356666666667,4.6969,4.77043333333333,4.883,4.71986666666667
"CCDC151",4.8375,5.3393,5.0677,6.0913,5.6795,5.1798,5.1745,4.7877,5.1117,5.3766,5.0127,5.2928,5.6568,5.7869,4.8027,5.0715,5.5247,4.9197,4.7142,5.0927
"CCDC152",5.5668,5.7759,5.65265,5.58865,5.65385,5.57235,5.59115,5.47885,5.725,5.35795,5.4897,5.7694,5.8365,5.71635,5.347,5.8799,5.5023,5.57395,5.45375,5.54125
"CCDC153",6.7148,6.3715,6.81,6.3852,6.5292,6.798,6.4817,6.6909,6.7574,6.5727,6.1934,6.1671,6.8945,6.5054,6.7882,6.7023,6.5699,6.5706,6.8674,6.4614
"CCDC154",5.3502,5.4705,5.8257,5.3509,5.3941,5.4025,5.4116,5.2694,5.59,5.4293,5.4574,5.5194,5.5699,5.5771,5.4264,5.2271,5.2664,5.4362,5.3811,5.0593
"CCDC155",3.2245,2.3954,2.8918,2.4894,2.5434,2.4688,2.5687,3.0977,2.6665,2.6611,2.6223,3.0108,2.6604,2.6064,2.6375,2.464,2.6985,2.2113,2.636,2.6334
"CCDC157",4.91303333333333,4.8278,4.89666666666667,5.03593333333333,5.04923333333333,4.91606666666667,4.7854,4.84883333333333,4.98866666666667,4.83036666666667,4.78756666666667,4.8484,4.95023333333333,4.90266666666667,5.03376666666667,4.6973,4.8447,4.8034,4.85113333333333,4.85326666666667
"CCDC158",2.74545,2.94565,2.61435,3.1435,2.5521,2.6028,2.8201,2.55155,2.41335,3.10565,2.38205,2.7013,2.82655,2.8825,2.7712,2.63265,2.7353,2.6287,2.81,2.7184
"CCDC159",8.0377,7.5871,8.1712,7.8999,8.1122,7.9606,7.907,8.1027,8.0001,7.9708,7.898,7.8091,7.838,7.9023,7.8887,7.8373,7.8012,8.0186,7.9798,7.73
"CCDC160",3.3061,6.0146,2.7662,6.2437,2.1411,2.7918,4.864,3.8121,2.2965,5.2509,4.7854,4.3816,4.6902,4.7794,3.6479,3.8257,4.6565,2.9825,3.952,4.7562
"CCDC163P",6.16465,7.25055,6.2057,6.3277,6.24665,6.0567,6.27545,6.35945,6.8347,6.84815,6.09,7.01395,6.34355,6.3264,6.4725,6.37915,6.1189,6.03505,6.8231,6.7918
"CCDC167",7.9382,7.7577,8.2223,8.0181,8.0815,7.9458,7.5899,8.2367,7.9603,8.294,7.9144,7.6569,7.8585,7.9622,7.9265,7.7723,7.4806,7.935,7.8207,7.8769
"CCDC168",2.5463,2.4981,2.66126666666667,2.56373333333333,2.64133333333333,2.51883333333333,2.52113333333333,2.44233333333333,2.65816666666667,2.77546666666667,2.70363333333333,2.71573333333333,2.4669,2.6668,2.47026666666667,2.67003333333333,2.45413333333333,2.626,2.57383333333333,2.72816666666667
"CCDC169",3.04456,3.05082,3.1282,3.01436,2.8487,2.96076,3.0302,3.09232,3.0743,3.07942,3.04814,3.08466,2.95248,3.01724,3.20664,2.95634,2.98662,3.19496,2.94372,3.30334
"CCDC169-SOHLH2",3.7425,3.4752,2.2932,2.6081,2.6245,3.7197,2.8146,2.5833,2.985,2.9062,2.7879,3.3292,2.3328,2.8404,2.6944,3.4318,3.7263,2.7596,2.4195,2.8915
"CCDC17",6.5453,6.0557,6.2853,6.421,6.2017,5.9295,6.3482,5.8321,6.9148,5.938,5.8039,6.3842,6.2054,5.8035,5.8765,6.1943,6.6881,5.9415,6.3942,6.3233
"CCDC170",5.4282,4.7311,4.7609,4.7701,4.8378,5.0578,4.9291,4.9933,4.7776,4.8203,5.3289,4.8738,4.6389,4.5994,5.255,4.9751,4.7955,4.8486,4.8044,4.4087
"CCDC171",4.27532857142857,4.22682857142857,4.52287142857143,4.1215,4.00504285714286,4.49195714285714,4.24381428571429,3.97712857142857,4.29331428571429,4.31421428571429,4.4313,4.21055714285714,4.53968571428571,3.93212857142857,4.235,4.3586,4.40561428571429,4.3045,4.20231428571429,4.44804285714286
"CCDC172",2.5563,2.4058,2.8731,2.3414,2.5941,2.6982,2.6542,3.0827,2.561,2.585,2.4393,2.6512,2.6051,2.6121,2.9063,2.5948,2.3355,2.8663,2.3874,2.8544
"CCDC173",4.1433,4.2111,4.442,4.2957,4.2452,4.2459,4.1633,4.0884,4.3259,4.1602,4.1502,4.5434,4.3119,4.9025,4.1496,4.6033,4.0354,4.4782,4.3452,4.4856
"CCDC174",7.61303333333333,7.53556666666667,7.7765,7.59996666666667,7.5043,7.77053333333333,7.67983333333333,7.64356666666667,7.80606666666667,7.59186666666667,7.47803333333333,7.43816666666667,7.546,7.41136666666667,7.53983333333333,7.66566666666667,7.705,7.61196666666667,7.62773333333333,7.59713333333333
"CCDC176",6.8587,6.74465,6.89595,6.8086,6.58255,6.61715,6.6135,6.5878,7.0007,6.83495,6.5285,6.75655,6.77785,6.69195,6.63745,6.46725,6.6617,6.4908,6.7641,6.4773
"CCDC177",3.6309,3.9442,3.823,3.5866,3.5155,3.3336,3.5069,4.195,3.7637,4.1709,3.3432,3.8039,3.3278,3.5026,4.2437,3.2853,3.2813,3.8627,3.2919,4.6535
"CCDC178",5.5143,7.3432,7.277,7.675,6.2116,4.7641,6.2583,5.6167,5.6511,6.6057,6.3108,6.1388,6.9214,6.6065,5.8417,3.8348,6.5127,4.897,5.8143,5.8132
"CCDC18",6.6698,6.26166666666667,6.9316,6.20253333333333,6.5877,6.9619,6.57356666666667,6.96123333333333,6.57786666666667,6.39943333333333,6.84466666666667,6.26456666666667,6.58933333333333,6.36956666666667,7.04623333333333,6.93586666666667,6.7303,6.97403333333333,6.2943,6.7077
"CCDC180",6.02715,5.92,5.8731,5.6802,5.87105,5.80005,5.5879,5.3397,7.0262,5.8566,5.55355,6.12505,5.53925,6.05045,5.88465,6.05095,5.46385,5.18005,6.50645,5.43265
"CCDC181",3.7645,3.60253333333333,3.463,3.55846666666667,3.68946666666667,3.63863333333333,3.4136,3.55456666666667,3.5795,3.52916666666667,3.58043333333333,3.32693333333333,3.5473,3.44983333333333,3.3028,3.60106666666667,3.61026666666667,3.56196666666667,3.2403,3.53836666666667
"CCDC182",5.0209,5.1172,5.5184,5.2413,5.4858,5.2485,5.1286,5.3641,5.2347,5.0806,5.1847,4.7285,5.1314,5.1775,5.3644,5.2467,5.2859,5.3513,5.2271,5.1319
"CCDC184",4.0162,4.6916,4.5553,4.3943,4.4125,4.3877,4.1791,4.0138,4.3196,4.2629,4.2699,4.2963,4.6147,4.5636,4.1742,4.4078,4.0553,4.1321,4.3372,4.5436
"CCDC185",5.7931,6.0865,6.2223,5.801,5.9825,5.5247,5.9398,5.7611,5.989,5.8779,5.7564,5.837,6.244,5.9427,5.6759,5.8569,5.8509,5.8039,5.6797,5.8951
"CCDC186",8.9945,9.0834,9.5227,9.11696666666667,9.29553333333333,9.43436666666667,9.21763333333333,9.38553333333333,8.89473333333333,8.99903333333333,9.15113333333333,8.77633333333333,9.42143333333333,9.04323333333333,9.215,9.45816666666667,9.14326666666667,9.39783333333333,9.1744,9.0041
"CCDC19",7.1851,6.8604,7.0886,6.8671,6.9357,6.6119,6.8532,6.9212,7.0083,7.2873,7.0797,6.5067,6.6679,6.8459,7.5108,6.5376,6.5805,6.8846,7.1417,7.4782
"CCDC22",8.1529,8.0866,8.48445,8.40965,8.3074,8.38775,8.22835,8.37395,8.8626,8.41185,8.21575,8.3748,8.2822,8.22475,8.3922,8.45105,8.3913,8.2911,8.45015,8.34085
"CCDC23",8.6028,8.6745,8.0595,8.3055,8.6613,8.7949,8.9905,8.4832,8.4055,8.7557,8.5305,8.5324,7.989,8.373,8.4274,8.9283,8.7333,8.3401,8.2838,8.2754
"CCDC24",5.4079,5.5324,5.8012,5.6523,5.5381,5.3971,5.5985,5.8096,5.5882,5.5382,5.5209,5.6583,5.7792,5.6226,5.6415,5.588,5.6238,5.6145,5.8127,5.5764
"CCDC25",10.76635,10.99275,10.95535,10.89175,10.83875,10.76515,10.6388,10.8819,10.64025,10.9135,10.8726,10.9784,10.9487,10.8697,10.79895,10.69565,10.5728,10.746,10.6268,10.66695
"CCDC26",2.5838,2.7065,2.641,2.8257,2.9959,2.7116,3.0648,3.1749,3.1114,2.7702,2.8,3.3516,2.6374,2.9558,3.181,3.0305,2.8915,2.752,2.8451,2.8339
"CCDC27",5.1714,5.0684,5.3712,5.2649,5.2147,4.9414,5.2413,5.1625,5.2784,5.0915,4.8859,5.1092,5.19,5.1853,5.2327,5.1855,4.997,5.1448,5.2661,5.0025
"CCDC28A",9.3178,9.3591,9.4997,9.3147,9.3851,9.4809,9.2299,9.2588,9.4288,9.3522,9.2111,9.61,9.2801,9.3622,9.3287,9.626,9.4043,9.1525,9.3629,9.3207
"CCDC28B",5.27235,4.85465,5.19335,4.91425,5.29365,5.13225,5.04035,5.19995,5.1244,5.2705,5.00075,5.0553,5.06385,5.20095,5.0019,4.9928,4.9545,5.06505,4.98555,5.15215
"CCDC3",11.7685,10.9572,11.9227,11.2673,11.7921,11.6964,11.2764,11.3113,12.3189,11.7344,11.8979,11.269,11.8322,10.9448,11.5913,11.5341,11.5771,11.5913,11.8155,11.796
